Wavelength 	T%
8340	91,0478
8350	91,297
8360	91,5619
8370	91,8829
8380	92,2942
8390	92,7482
8400	93,166
8410	93,5889
8420	94,054
8430	94,6846
8440	95,1624
8450	95,7389
8460	96,1203
8470	96,6345
8480	96,966
8490	97,352
8500	97,6758
8510	97,9336
8520	98,1749
8530	98,3707
8540	98,5701
8550	98,6284
8560	98,632
8570	98,5114
8580	98,3796
8590	98,1674
8600	97,938
8610	97,6122
8620	97,2868
8630	96,8722
8640	96,451
8650	95,8813
8660	95,2992
8670	94,6657
8680	94,0391
8690	93,4028
8700	92,7591
8710	92,1086
8720	91,3981
8730	90,7563
8740	90,0754
8750	89,468
8760	88,7604
8770	88,1072
8780	87,382
8790	86,7561
8800	86,0182
8810	85,3679
8820	84,6411
8830	84,0628
8840	83,3819
8850	82,8141
8860	82,1838
8870	81,6644
8880	81,0902
8890	80,589
8900	80,1192
8910	79,7029
8920	79,3375
8930	78,9963
8940	78,7596
8950	78,5869
8960	78,5625
8970	78,579
8980	78,7339
8990	78,9889
9000	79,4563
9010	80,0214
9020	80,7425
9030	81,5166
9040	82,3952
9050	83,2569
9060	84,4665
9070	85,7572
9080	87,2071
9090	88,3763
9100	89,4441
9110	90,2187
9120	90,6065
9130	90,5039
9140	89,7056
9150	88,0524
9160	85,4138
9170	81,6071
9180	77,1366
9190	71,5042
9200	65,3433
9210	58,0618
9220	51,1336
9230	44,1069
9240	37,8762
9250	31,5919
9260	26,1325
9270	21,1002
9280	16,7527
9290	12,9442
9300	9,5601
9310	6,8934
9320	4,4276
9330	2,4054
9340	0,446
9350	-1,0831
9360	-2,4454
9370	-3,5086
9380	-4,513
9390	-5,3614
9400	-6,0841
9410	-6,7483
9420	-7,3018
9430	-7,8295
9440	-8,2272
9450	-8,6117
9460	-8,9484
9470	-9,3001
9480	-9,5594
9490	-9,7961
9500	-10,0044
9510	-10,2156
9520	-10,4017
9530	-10,5549
9540	-10,6851
9550	-10,8192
9560	-10,9277
9570	-11,0378
9580	-11,1183
9590	-11,2127
9600	-11,2849
9610	-11,3578
9620	-11,414
9630	-11,4626
9640	-11,5145
9650	-11,5545
9660	-11,6006
9670	-11,6415
9680	-11,679
9690	-11,715
9700	-11,7349
9710	-11,7637
9720	-11,7846
9730	-11,8107
9740	-11,8311
9750	-11,8483
9760	-11,8693
9770	-11,8801
9780	-11,8997
9790	-11,907
9800	-11,9246
9810	-11,9346
9820	-11,9508
9830	-11,9583
9840	-11,9603
9850	-11,9705
9860	-11,973
9870	-11,9764
9880	-11,9862
9890	-11,9923
9900	-11,9854
9910	-11,9917
9920	-12,0031
9930	-12,0204
9940	-12,0322
9950	-12,0473
9960	-12,0655
9970	-12,0385
9980	-12,0468
9990	-12,0366
10000	-12,0644
10010	-12,0448
10020	-12,0334
10030	-12,0314
10040	-12,0427
10050	-12,0626
10060	-12,0582
10070	-12,049
10080	-12,0623
10090	-12,0578
10100	-12,0511
10110	-12,0359
10120	-12,0383
10130	-12,0521
10140	-12,0711
10150	-12,0749
10160	-12,0718
10170	-12,0652
10180	-12,0647
10190	-12,0724
10200	-12,0679
10210	-12,0903
10220	-12,0895
10230	-12,0915
10240	-12,0747
10250	-12,0736
10260	-12,0662
10270	-12,0625
10280	-12,0697
10290	-12,0704
10300	-12,0753
10310	-12,0681
10320	-12,0829
10330	-12,0793
10340	-12,0824
10350	-12,0779
10360	-12,0798
10370	-12,0843
10380	-12,0866
10390	-12,0923
10400	-12,0926
10410	-12,079
10420	-12,084
10430	-12,0819
10440	-12,0921
10450	-12,0906
10460	-12,0979
10470	-12,1141
10480	-12,119
10490	-12,1182
10500	-12,094
10510	-12,0894
10520	-12,079
10530	-12,0857
10540	-12,0745
10550	-12,0787
10560	-12,0815
10570	-12,0967
10580	-12,086
10590	-12,0811
10600	-12,0614
10610	-12,0729
10620	-12,0803
10630	-12,0917
10640	-12,0977
10650	-12,1028
10660	-12,0961
10670	-12,0851
10680	-12,0887
10690	-12,0894
10700	-12,0928
10710	-12,073
10720	-12,0807
10730	-12,0874
10740	-12,0994
10750	-12,106
10760	-12,1053
10770	-12,0901
10780	-12,0851
10790	-12,0754
10800	-12,0923
10810	-12,0967
10820	-12,1051
10830	-12,1
10840	-12,0899
10850	-12,0807
10860	-12,0805
10870	-12,0819
10880	-12,0934
10890	-12,0948
10900	-12,0836
10910	-12,0719
10920	-12,0758
10930	-12,0874
10940	-12,086
10950	-12,0889
10960	-12,091
10970	-12,1058
10980	-12,0973
10990	-12,0896
11000	-12,0837
11010	-12,0775
11020	-12,0811
11030	-12,0821
11040	-12,0866
11050	-12,0809
11060	-12,0766
11070	-12,074
11080	-12,0836
11090	-12,08
11100	-12,0777
11110	-12,0705
11120	-12,078
11130	-12,0772
11140	-12,0804
11150	-12,0816
11160	-12,0852
11170	-12,0845
11180	-12,0766
11190	-12,0792
11200	-12,0781
11210	-12,0812
11220	-12,0839
11230	-12,0874
11240	-12,0743
11250	-12,0721
11260	-12,0595
11270	-12,0825
11280	-12,0857
11290	-12,0976
11300	-12,0824
11310	-12,0729
11320	-12,0719
11330	-12,0705
11340	-12,0793
11350	-12,07
11360	-12,0669
11370	-12,0642
11380	-12,0713
11390	-12,0557
11400	-12,059
11410	-12,0543
11420	-12,0709
11430	-12,0549
11440	-12,0538
11450	-12,0581
11460	-12,0649
11470	-12,0598
11480	-12,0589
11490	-12,0583
11500	-12,0646
11510	-12,0644
11520	-12,0489
11530	-12,0452
11540	-12,045
11550	-12,0476
11560	-12,0488
11570	-12,0364
11580	-12,0431
11590	-12,0362
11600	-12,0361
11610	-12,032
11620	-12,0302
11630	-12,0375
11640	-12,0483
11650	-12,039
11660	-12,0288
11670	-12,0172
11680	-12,018
11690	-12,0144
11700	-12,0075
11710	-12,0028
11720	-11,9966
11730	-11,9893
11740	-11,9882
11750	-11,9866
11760	-11,9864
11770	-11,9773
11780	-11,9656
11790	-11,9547
11800	-11,961
11810	-11,959
11820	-11,9402
11830	-11,9172
11840	-11,9007
11850	-11,9095
11860	-11,8996
11870	-11,9029
11880	-11,8896
11890	-11,8779
11900	-11,8634
11910	-11,8591
11920	-11,8453
11930	-11,8222
11940	-11,7997
11950	-11,8049
11960	-11,7862
11970	-11,7606
11980	-11,7274
11990	-11,7149
12000	-11,7063
